Time,Voltage,PWM1,PWM2,PWM3,PWM4,X,Y,W
1622815821.2389858,12.29,90,90,90,90,1.7394213676452637,1.9952709674835205,2.0080037206889365
1622815821.4409304,12.29,90,90,90,90,1.7380242347717285,2.0014455318450928,2.01646322207746
1622815821.6432304,12.29,90,90,90,90,1.7340195178985596,2.0040457248687744,2.012904789326722
1622815821.8451452,12.29,90,90,90,90,1.7311997413635254,2.0097336769104004,2.013967955576486
1622815822.0470695,12.29,90,90,90,90,1.7282040119171143,2.0151658058166504,2.0150334628050106
1622815822.2493548,12.29,90,90,90,90,1.7246086597442627,2.0197038650512695,2.016293910510279
1622815822.4516869,12.29,90,90,90,90,1.7224667072296143,2.0247511863708496,2.0236730945198538
1622815822.6539373,12.29,90,90,90,90,1.7191920280456543,2.0274195671081543,2.0186393331372026
1622815822.8563337,12.29,90,90,90,90,1.7179982662200928,2.034085512161255,2.025445057618368
1622815823.0585113,12.29,90,90,90,90,1.7143263816833496,2.03639554977417,2.0221313093468054
1622815823.2605274,12.29,90,90,90,90,1.7125451564788818,2.0429983139038086,2.025920588349818
1622815823.4622178,12.29,90,90,90,90,1.7104365825653076,2.0472638607025146,2.02336748302162
1622815823.6646504,12.29,90,90,90,90,1.709822416305542,2.0528502464294434,2.02856491719816
1622815823.8662956,12.29,90,90,90,90,1.7062616348266602,2.055753707885742,2.0269393189186866
1622815824.068156,12.29,90,90,90,90,1.7024199962615967,2.062091827392578,2.0283531985450596
1622815824.2701845,12.29,90,90,90,90,1.702580451965332,2.068127155303955,2.0364175795022974
1622815824.472156,12.29,90,90,90,90,1.7002205848693848,2.075108289718628,2.033310072657368
1622815824.6745925,12.29,90,90,90,90,1.6991500854492188,2.080076217651367,2.0389113379936923
1622815824.8762953,12.29,90,90,90,90,1.695605993270874,2.084256410598755,2.0358032368713594
1622815825.0783174,12.29,120,90,120,90,1.6946065425872803,2.089097261428833,2.0367054826588573
1622815825.2805574,12.29,120,90,120,90,1.6944680213928223,2.091005802154541,2.0321813365374997
1622815825.4823375,12.29,120,90,120,90,1.6986894607543945,2.088433265686035,2.037192213688757
1622815825.6847956,12.29,120,90,120,90,1.7014615535736084,2.0735766887664795,2.032715451649894
1622815825.888203,12.29,120,90,120,90,1.709015130996704,2.0593957901000977,2.0349092586732285
1622815826.0906508,12.29,120,90,120,90,1.716306447982788,2.0394797325134277,2.0339721645610016
1622815826.2934854,12.29,120,90,120,90,1.7238812446594238,2.011843204498291,2.0246518709480235
1622815826.4956574,12.29,120,90,120,90,1.7347028255462646,1.9836453199386597,2.024626087514843
1622815826.698536,12.29,120,90,120,90,1.7487037181854248,1.951754093170166,2.028327390039239
1622815826.9004786,12.29,120,90,120,90,1.7638483047485352,1.9179788827896118,2.027965762701269
1622815827.1028154,12.29,120,90,120,90,1.78108549118042,1.8797399997711182,2.020627208646195
1622815827.3053956,12.29,120,90,120,90,1.801259994506836,1.8418550491333008,2.0235745316767986
1622815827.5072386,12.29,120,90,120,90,1.819777250289917,1.7974687814712524,2.022874123648085
1622815827.7094975,12.29,120,90,120,90,1.8431973457336426,1.7507716417312622,2.0230434280104714
1622815827.9114435,12.29,90,60,90,60,1.8661572933197021,1.7059357166290283,2.0277623638493183
1622815828.1133127,12.29,90,60,90,60,1.8900361061096191,1.6642574071884155,2.049167889889769
1622815828.31547,12.29,90,60,90,60,1.9060044288635254,1.6210585832595825,2.0677495150946057
1622815828.5180357,12.29,90,60,90,60,1.9139764308929443,1.5852673053741455,2.0836029855899776
1622815828.7205179,12.29,90,60,90,60,1.918213129043579,1.5460859537124634,2.0966508579811975
1622815828.922491,12.29,90,60,90,60,1.917039155960083,1.5132079124450684,2.1051518320446307
1622815829.1275136,12.29,90,60,90,60,1.909623384475708,1.4626215696334839,2.1151509000612547
1622815829.329859,12.29,90,60,90,60,1.8932549953460693,1.4111850261688232,2.1279013617907143
1622815829.532403,12.29,90,60,90,60,1.8799505233764648,1.377847671508789,2.133249418280727
1622815829.7417257,12.29,90,60,90,60,1.8543972969055176,1.3276677131652832,2.1419382330318975
1622815829.944979,12.29,90,60,90,60,1.83203125,1.2903995513916016,2.1657061736001633
1622815830.147453,12.29,90,60,90,60,1.8057537078857422,1.2513524293899536,2.1850666380590735
1622815830.3492732,12.29,90,60,90,60,1.7779405117034912,1.2124912738800049,2.197375688062283
1622815830.5515544,12.29,90,60,90,60,1.7464375495910645,1.172842025756836,2.211240771032814
1622815830.754408,12.29,90,60,90,60,1.7105562686920166,1.1311280727386475,2.223631958938175
1622815830.9557161,12.29,90,60,90,60,1.6740853786468506,1.0908756256103516,2.2363795895242595
1622815831.15778,12.29,90,60,90,60,1.6345820426940918,1.046715497970581,2.2465789836214105
1622815831.3598566,12.29,90,60,90,60,1.5963079929351807,1.0054030418395996,2.2591411566249957
1622815831.56189,12.29,90,60,90,60,1.5536327362060547,0.9607084393501282,2.2618443258425587
1622815831.7637131,12.29,90,60,90,60,1.508913278579712,0.9153808355331421,2.263906531445782
1622815831.9657118,12.29,90,60,90,60,1.4648151397705078,0.8690610527992249,2.274952716839144
1622815832.1687515,12.29,90,60,90,60,1.4146862030029297,0.8199664354324341,2.2775801161496587
1622815832.3708146,12.29,90,60,90,60,1.365776538848877,0.7721081376075745,2.2814767958938647
1622815832.5728014,12.29,90,60,90,60,1.3160984516143799,0.7230542302131653,2.2875210737760465
1622815832.7746859,12.29,90,60,90,60,1.2638311386108398,0.6715351939201355,2.289025672566084
1622815832.976725,12.29,90,60,90,60,1.2094666957855225,0.6199307441711426,2.295355079160483
