Time,Voltage,PWM1,PWM2,PWM3,PWM4,X,Y,W
1622815094.310668,12.29,90,90,90,90,0.1454000473022461,0.013241801410913467,0.029574285394776592
1622815094.5235782,12.29,90,90,90,90,0.14460134506225586,0.013333164155483246,0.028879177205342513
1622815094.734911,12.29,90,90,90,90,0.14507246017456055,0.014029409736394882,0.026358553772711197
1622815094.9455698,12.29,90,90,90,90,0.1446247100830078,0.012600582093000412,0.025774630123402024
1622815095.156479,12.29,90,90,90,90,0.14456939697265625,0.00960196927189827,0.02422784483057333
1622815095.3673837,12.29,90,90,90,90,0.14643096923828125,0.006480451673269272,0.020928154180773425
1622815095.5790937,12.29,90,90,90,90,0.14957571029663086,0.00416082888841629,0.018659176443101503
1622815095.78986,12.29,90,90,90,90,0.1520390510559082,0.0015673823654651642,0.016451473762384334
1622815096.0011451,12.29,90,90,90,90,0.15458917617797852,0.0014423616230487823,0.012251935153612156
1622815096.2127419,12.29,90,90,90,90,0.1584482192993164,0.00382334366440773,0.006541177969005995
1622815096.4239328,12.29,90,120,90,60,0.16127538681030273,0.006931759417057037,0.0010141266952525562
1622815096.6348293,12.29,90,120,90,60,0.16109466552734375,0.012841017916798592,0.013716616743173617
1622815096.846017,12.29,90,120,90,60,0.16035699844360352,0.020386500284075737,0.04669512358035081
1622815097.05722,12.29,90,120,90,60,0.16364574432373047,0.028527304530143738,0.09360076322623724
1622815097.2694669,12.29,90,120,90,60,0.16855430603027344,0.03453920781612396,0.15686122055219134
1622815097.480589,12.29,90,120,90,60,0.16970539093017578,0.04279252886772156,0.24680250309381596
1622815097.692071,12.29,90,120,90,60,0.17263460159301758,0.05189132317900658,0.3361820376174068
1622815097.9030573,12.29,90,120,90,60,0.17580938339233398,0.06073400750756264,0.4212525673297657
1622815098.1142535,12.29,90,120,90,60,0.17722320556640625,0.07756657153367996,0.5695915577986739
1622815098.3269048,12.29,90,120,90,60,0.17751455307006836,0.08503428101539612,0.652678082663376
1622815098.5376782,12.29,90,90,90,90,0.17229080200195312,0.10106882452964783,0.8269023753671888
1622815098.7485502,12.29,90,120,90,60,0.1674046516418457,0.1121831089258194,0.9765233485791027
1622815098.9600773,12.29,90,120,90,60,0.16280317306518555,0.12395869940519333,1.1179038490872766
1622815099.1712527,12.29,90,120,90,60,0.15537500381469727,0.1348644495010376,1.2711353803203034
1622815099.3829355,12.29,90,120,90,60,0.14319992065429688,0.1432514786720276,1.4312048305450642
1622815099.594722,12.29,90,120,90,60,0.1304311752319336,0.14986178278923035,1.6125081246538817
1622815099.806008,12.29,90,120,90,60,0.11743640899658203,0.1586424559354782,1.793565877519923
1622815100.0164425,12.29,90,120,90,60,0.10385322570800781,0.16557449102401733,2.000738671729369
1622815100.2275956,12.29,90,120,90,60,0.09129810333251953,0.16825982928276062,2.2135824350178512
1622815100.4387553,12.29,90,120,90,60,0.07978010177612305,0.17184820771217346,2.440302193284478
1622815100.650714,12.29,90,120,90,60,0.07071495056152344,0.1764899492263794,2.6878424622434705
1622815100.862858,12.29,90,120,90,60,0.06468868255615234,0.17805315554141998,2.908248644631355
1622815101.0753405,12.29,90,120,90,60,0.056149959564208984,0.17827661335468292,3.082222634020828
1622815101.2885942,12.29,90,120,90,60,0.053322792053222656,0.18074047565460205,2.812404370025503
1622815101.5008605,12.29,90,120,90,60,0.04916572570800781,0.1838769018650055,2.5384114271525537
1622815101.7116752,12.29,90,120,90,60,0.0458526611328125,0.1889173537492752,2.2461125752798092
1622815101.9237006,12.29,90,120,90,60,0.046518802642822266,0.1959112286567688,1.9639767400274297
1622815102.1351378,12.29,90,120,90,60,0.04929924011230469,0.20250174403190613,1.6756912712024186
1622815102.3522696,12.29,90,120,90,60,0.05085897445678711,0.2070852518081665,1.391108298495121
1622815102.5645752,12.29,90,120,90,60,0.05468463897705078,0.2134905755519867,1.0926331944009557
1622815102.7763393,12.29,90,120,90,60,0.056769371032714844,0.22153101861476898,0.7824771787460479
1622815102.9887135,12.29,90,120,90,60,0.057576656341552734,0.2258405089378357,0.5014900982835411
1622815103.200443,12.29,90,120,90,60,0.05690622329711914,0.2320224940776825,0.16289946404338795
1622815103.4125535,12.29,90,120,90,60,0.057134151458740234,0.23963676393032074,0.13502713582030834
1622815103.625233,12.29,90,120,90,60,0.0576014518737793,0.24862387776374817,0.4196694709485713
1622815103.83702,12.29,90,120,90,60,0.057784080505371094,0.2569176256656647,0.6754132229376849
1622815104.0516157,12.29,90,120,90,60,0.0588374137878418,0.269629567861557,1.0433368965664702
1622815104.2629037,12.29,90,120,90,60,0.059304237365722656,0.27534234523773193,1.2349661085663837
1622815104.4734352,12.29,90,120,90,60,0.059671878814697266,0.283962607383728,1.6128438974637926
1622815104.6846578,12.29,90,120,90,60,0.05965995788574219,0.29171454906463623,1.9608926094353962
1622815104.8966668,12.29,90,120,90,60,0.05837249755859375,0.2970695197582245,2.261227095661737
1622815105.1081753,12.29,90,120,90,60,0.055914878845214844,0.2977100610733032,2.5512402533311036
1622815105.3201704,12.29,90,120,90,60,0.05214643478393555,0.2963162958621979,2.848355293680685
1622815105.5322003,12.29,90,120,90,60,0.048639774322509766,0.2907547950744629,3.127714639073814
1622815105.7448409,12.29,90,120,90,60,0.04931354522705078,0.28586432337760925,2.861258520245865
1622815105.9554346,12.29,90,120,90,60,0.04993152618408203,0.2805858254432678,2.5845972280307463
1622815106.16661,12.29,90,120,90,60,0.04876995086669922,0.27380698919296265,2.2987460948608622
1622815106.3777251,12.29,90,120,90,60,0.05217409133911133,0.26649612188339233,2.041855873140621
1622815106.5890288,12.29,90,120,90,60,0.057621002197265625,0.26199620962142944,1.769378403197475
1622815106.8017364,12.29,90,120,90,60,0.06502103805541992,0.25831902027130127,1.4928860965486488
1622815107.013514,12.29,90,120,90,60,0.07528114318847656,0.25599685311317444,1.2202398648601585
1622815107.2256355,12.29,90,120,90,60,0.08598041534423828,0.2568289041519165,0.961302345594062
1622815107.4374983,12.29,90,120,90,60,0.09497547149658203,0.25778141617774963,0.6879689117160763
1622815107.654041,12.29,90,120,90,60,0.1022028923034668,0.25986698269844055,0.4056596004496456
1622815107.8665903,12.29,90,120,90,60,0.10726499557495117,0.26198267936706543,0.11748679382988961
