Time,Voltage,PWM1,PWM2,PWM3,PWM4,X,Y,W
1622816117.1919951,12.29,60,90,60,90,1.6838655471801758,1.520801067352295,0.6737866683688769
1622816117.3946815,12.29,60,90,60,90,1.6383538246154785,1.4783599376678467,0.6764196256816817
1622816117.597941,12.29,60,90,60,90,1.5940837860107422,1.437110185623169,0.6833537312716252
1622816117.800721,12.29,60,90,60,90,1.549363613128662,1.3968124389648438,0.7023328356998214
1622816118.0039468,12.29,60,90,60,90,1.5136733055114746,1.3628851175308228,0.7172115214861331
1622816118.206834,12.29,60,90,60,90,1.4645752906799316,1.315028429031372,0.7537171857694869
1622816118.4097705,12.29,60,90,60,90,1.4167671203613281,1.2677544355392456,0.7955220872606497
1622816118.6128924,12.29,60,90,60,90,1.3707046508789062,1.2225708961486816,0.8377787047325346
1622816118.8159328,12.29,60,90,60,90,1.3282032012939453,1.1763719320297241,0.88351042390163
1622816119.0188425,12.29,60,90,60,90,1.2862238883972168,1.1294533014297485,0.9271346450551757
1622816119.221793,12.29,60,90,60,90,1.2481484413146973,1.083695411682129,0.9544097669615643
1622816119.4246035,12.29,60,90,60,90,1.208737850189209,1.035568118095398,0.9827002252938649
1622816119.6276734,12.29,60,90,60,90,1.172243595123291,0.9878170490264893,1.0057197590765732
1622816119.830715,12.29,60,90,60,90,1.124455451965332,0.9199739098548889,1.034599435432879
1622816120.033597,12.29,60,90,60,90,1.0920238494873047,0.874407172203064,1.0515460661373683
1622816120.2365103,12.29,60,90,60,90,1.043534278869629,0.8046000599861145,1.0745889312178307
1622816120.4399242,12.29,60,90,60,90,1.0140538215637207,0.7603248953819275,1.087997370497373
1622816120.6425338,12.29,60,90,60,90,0.9636983871459961,0.6821389198303223,1.1060656286667092
1622816120.8455207,12.29,60,90,60,90,0.9275493621826172,0.6219925880432129,1.1283829649721258
1622816121.0486112,12.29,60,90,60,90,0.8932294845581055,0.5600935220718384,1.1552504905322452
1622816121.2516649,12.29,60,90,60,90,0.8615617752075195,0.495683491230011,1.1877026895286487
1622816121.4545922,12.29,60,90,60,90,0.8316264152526855,0.4357832968235016,1.2186568062092087
1622816121.657398,12.29,60,90,60,90,0.8005228042602539,0.3714192807674408,1.2556560394559193
1622816121.859582,12.29,60,90,60,90,0.7732863426208496,0.307455837726593,1.2955841353824635
1622816122.0624812,12.29,60,90,60,90,0.746088981628418,0.23786039650440216,1.3330348084503434
1622816122.2657392,12.29,60,90,60,90,0.7205471992492676,0.16910499334335327,1.3664540606308868
1622816122.4682698,12.29,60,90,60,90,0.6964879035949707,0.09893152117729187,1.3983463438601629
1622816122.6704924,12.29,60,90,60,90,0.6787557601928711,0.030621960759162903,1.426687551839059
1622816122.8734937,12.29,60,90,60,90,0.6620659828186035,0.04831269383430481,1.4568832116769268
1622816123.076314,12.29,60,90,60,90,0.6479220390319824,0.12404339760541916,1.4823970040847283
1622816123.2783258,12.29,60,90,60,90,0.6350631713867188,0.20514380931854248,1.5066014956795648
1622816123.4804695,12.29,60,90,60,90,0.6251826286315918,0.284584105014801,1.528948915875103
1622816123.6829884,12.29,60,90,60,90,0.6189355850219727,0.3483618199825287,1.5447437377842326
1622816123.8846521,12.29,60,90,60,90,0.613553524017334,0.4161143898963928,1.5606411100925335
1622816124.0868027,12.29,60,90,60,90,0.6061263084411621,0.5276783108711243,1.582385817014054
1622816124.2888527,12.29,60,90,60,90,0.6021108627319336,0.583407461643219,1.593793731259781
