Time,Voltage,PWM1,PWM2,PWM3,PWM4,X,Y,W
1622816223.632944,12.29,90,60,90,60,1.2267920970916748,1.8700071573257446,1.5977021207620308
1622816223.8355606,12.29,90,60,90,60,1.2218656539916992,1.8068110942840576,1.5838958610845482
1622816224.0376644,12.29,90,90,90,90,1.2138702869415283,1.7563366889953613,1.5705464490274317
1622816224.239274,12.29,90,90,90,90,1.2035655975341797,1.7081204652786255,1.5527153913911098
1622816224.4413388,12.29,90,60,90,120,1.1946375370025635,1.66228187084198,1.5353391507272196
1622816224.642924,12.29,90,60,90,120,1.1886358261108398,1.615805745124817,1.5308750858043558
1622816224.8449457,12.29,90,90,90,90,1.184924602508545,1.5736899375915527,1.5477877006993812
1622816225.0471501,12.29,90,90,90,90,1.1821880340576172,1.535986065864563,1.5693086044157953
1622816225.2494473,12.29,60,90,60,90,1.1790063381195068,1.5004782676696777,1.5892272265351417
1622816225.4512885,12.29,60,90,60,90,1.1775519847869873,1.4603147506713867,1.6147526218252348
1622816225.6535141,12.29,60,90,60,90,1.1796660423278809,1.4172096252441406,1.6385706937299154
1622816225.855786,12.29,60,90,60,90,1.1814234256744385,1.3697211742401123,1.6576959029494296
1622816226.0576873,12.29,60,90,60,90,1.183889389038086,1.3172718286514282,1.679504169940792
1622816226.259353,12.29,60,90,60,90,1.1869280338287354,1.2596791982650757,1.7006804202893593
1622816226.4613068,12.29,60,90,60,90,1.1883530616760254,1.2028206586837769,1.7206850145493364
1622816226.6634786,12.29,60,90,60,90,1.1896803379058838,1.1430912017822266,1.743622180510598
1622816226.8652935,12.29,60,90,60,90,1.1895356178283691,1.08106529712677,1.7656395669175258
1622816227.0682318,12.29,60,90,60,90,1.1871013641357422,1.022188663482666,1.7795173307087087
1622816227.2704484,12.29,60,90,60,90,1.1859445571899414,0.9639261960983276,1.7974212146140536
1622816227.4731724,12.29,60,90,60,90,1.1833627223968506,0.8911645412445068,1.8211172591985858
1622816227.6761417,12.29,60,90,60,90,1.178088903427124,0.8086638450622559,1.848068953002341
1622816227.8799455,12.29,60,90,60,90,1.1745643615722656,0.7487708926200867,1.8637264793552868
1622816228.0822623,12.29,60,90,60,90,1.1654343605041504,0.6700891256332397,1.8751270547415584
1622816228.2843163,12.29,60,90,60,90,1.153864860534668,0.6007298827171326,1.876896216020182
1622816228.4871006,12.29,60,90,60,90,1.142333745956421,0.535376787185669,1.8816972769857891
1622816228.6894343,12.29,60,90,60,90,1.1289958953857422,0.4718463718891144,1.902400194899433
1622816228.891373,12.29,60,90,60,90,1.1102187633514404,0.40517476201057434,1.9214207123070135
1622816229.0937488,12.29,60,90,60,90,1.0893614292144775,0.33833181858062744,1.9512280126271189
1622816229.296534,12.29,60,90,60,90,1.0682966709136963,0.27313002943992615,1.98343159975174
1622816229.49847,12.29,60,90,60,90,1.0457701683044434,0.20883497595787048,2.013618429185917
1622816229.7008462,12.29,60,90,60,90,1.0178108215332031,0.13820162415504456,2.047044654469976
1622816229.9036937,12.29,60,90,60,90,0.9854230880737305,0.0714123472571373,2.079177089760729
1622816230.1066313,12.29,60,90,60,90,0.9489235877990723,0.002309028059244156,2.113328684158198
1622816230.3080945,12.29,60,90,60,90,0.9130616188049316,0.06329431384801865,2.146805225881429
1622816230.5100734,12.29,60,90,60,90,0.8738961219787598,0.12751504778862,2.178899638764726
1622816230.7122233,12.29,60,90,60,90,0.8300604820251465,0.19234544038772583,2.21223774668707
1622816230.9144688,12.29,60,90,60,90,0.7876157760620117,0.25439903140068054,2.243877473661057
1622816231.1158469,12.29,60,90,60,90,0.7432994842529297,0.3158232569694519,2.275853314452517
1622816231.3178487,12.29,60,90,60,90,0.6964759826660156,0.3774866461753845,2.3068204907122363
1622816231.5199811,12.29,90,90,90,90,0.6464431285858154,0.44010114669799805,2.3358564422979113
1622816231.7221417,12.29,90,60,90,120,0.5997514724731445,0.4958142638206482,2.3631303931619745
1622816231.9238532,12.29,60,90,60,90,0.5554554462432861,0.5458980202674866,2.3963416356258542
1622816232.1258562,12.29,60,90,60,90,0.5072665214538574,0.6001777052879333,2.4460429758202045
1622816232.3278444,12.29,60,90,60,90,0.45874786376953125,0.6523487567901611,2.492209661697066
1622816232.5379074,12.29,60,90,60,90,0.4025897979736328,0.7091097831726074,2.546155894638979
1622816232.9413354,12.29,90,60,90,120,0.2884397506713867,0.8060659170150757,2.622705248110613
1622816233.143561,12.29,90,60,90,120,0.2324814796447754,0.8495585918426514,2.6716671277021047
1622816233.345282,12.29,90,90,90,90,0.17924833297729492,0.8915023803710938,2.7436327086748267
1622816233.547331,12.29,60,90,60,90,0.1288895606994629,0.9304165840148926,2.815705084727885
1622816233.7486546,12.29,60,90,60,90,0.07622718811035156,0.9696082472801208,2.8882184715294477
1622816233.9507995,12.29,60,90,60,90,0.017852783203125,1.0075434446334839,2.9591784639096415
1622816234.1529946,12.29,60,90,60,90,0.035124778747558594,1.037574052810669,3.018442497273831
1622816234.3552012,12.29,60,90,60,90,0.10807323455810547,1.072434902191162,3.0971070183336424
1622816234.5568972,12.29,90,60,90,120,0.15348052978515625,1.0922390222549438,3.140923961665002
1622816234.7586055,12.29,90,60,90,120,0.20212697982788086,1.1136631965637207,3.090639630523967
1622816234.9607284,12.29,90,90,90,90,0.27639055252075195,1.1453341245651245,2.984873989316005
1622816235.1630867,12.29,90,90,90,90,0.3435096740722656,1.1735796928405762,2.8740551675431503
